연번,구분,기관명,주소,전화번호 
1,정신병원,동서병원,"경남 창원시 마산회원구 내서읍 호원로 265 (호계리, 동서병원)",055-230-1800
2,정신병원,현대사랑병원,"경남 창원시 마산합포구 진북면 동삼길 314-25 (인곡리, 현대사랑병원)",055-240-8000
3,정신병원,예경병원,"경남 창원시 마산합포구 중앙서1길 25 (대성동2가, 예경노인병원)",055-249-5555
4,정신병원,연세사랑병원,"경남 창원시 진해구 행암로 76 (장천동, 연세사랑병원)",055-540-7700
5,정신병원,진주성남병원,"경남 진주시 문산읍 문산로 831 (안전리, 진주성남병원)",055-790-0001
6,정신병원,새진주정신병원,경남 진주시 문산읍 제곡길98번길 36 (삼곡리),055-790-2221
7,정신병원,진주정신병원,"경남 진주시 문산읍 제곡길98번길 41 (삼곡리, 진주노인요양병원)",055-790-2222
8,정신병원,통영정신병원,"경남 통영시 도산면 남해안대로 1820 (도선리, 통영정신병원)",055-640-1988
9,정신병원,순영병원,경남 사천시 축동면 서삼로 1110-35 (가산리),055-854-6000
10,정신병원,사천동희병원,경남 사천시 사천읍 구암두문로 74 (정의리),055-852-2250
11,정신병원,한마음병원,"경남 사천시 향촌4길 127 (향촌동, 한마음병원)",055-832-3311
12,정신병원,동남정신건강병원,경남 김해시 가야로51번길 42 (삼계동),055-330-2500
13,정신병원,한사랑병원,경남 김해시 강동로 65 (강동),055-722-7000
14,정신병원,해광병원,"경남 김해시 김해대로2492번길 54-28 (삼정동, 해광병원)",055-311-1678
15,정신병원,장유누가병원,경남 김해시 대청로104번길 80-1 (대청동),055-330-4000
16,정신병원,밀양우리병원,경남 밀양시 중앙로 114 (가곡동),055-355-8100
17,정신병원,21세기한일병원,경남 거제시 사등면 지석로 70 (지석리),055-634-0900
18,정신병원,노아병원,경남 양산시 상북면 수서로 349-17 (내석리),055-912-0000
19,정신병원,형주병원,"경남 양산시 상북면 양산대로 1870-64 (신전리, 경남도립양산노인전문병원)",055-375-7575
20,정신병원,양산병원,"경남 양산시 모래들1길 91 (주진동, 양산병원)",055-379-0202
21,정신병원,아람병원,"경남 양산시 덕계2길 11-15 (덕계동, 아람병원)",055-364-0078
22,정신병원,덕계성심병원,"경남 양산시 월라2길 45 (덕계동, 덕계성심병원)",055-365-7575
23,정신병원,의령사랑병원,경남 의령군 의령읍 의합대로 105-8 (무전리),055-600-2000
24,정신병원,우리병원,"경남 함안군 칠서면 삼칠로 1213 (용성리, 우리병원)",055-589-9800
25,정신병원,국립부곡병원,"경남 창녕군 부곡면 부곡로 145 (부곡리, 국립부곡병원)",055-536-6440
26,정신병원,부곡온천병원,"경남 창녕군 부곡면 원앙로 72 (거문리, 부곡온천병원)",055-536-4858
27,정신병원,고성성심병원,경남 고성군 회화면 남해안대로 3963-21 (삼덕리),055-673-8511
28,정신병원,하동우리들병원,"경남 하동군 금남면 섬진강대로 957 (계천리, 하동우리들병원)",055-883-7575
29,종합병원 정신과,성균관대학삼성창원병원,"경남 창원시 마산회원구 팔용로 158 (합성동, 삼성창원병원)",055-233-8899
30,종합병원 정신과,SMG 연세병원,"경남 창원시 마산합포구 3.15대로 76 (월남동2가, 합포의료재단)",055-243-0100
31,종합병원 정신과,근로복지공단 창원병원,"경남 창원시 성산구 창원대로 721 (중앙동, 창원병원)",055-280-7777
